Model,cv_results,Train_Accuracy,Precision,Recall,F1_score,Val_Accuracy
LogisticRegression,0.9660709295803969,0.9853300733496333,0.9856633562515915,0.9832269180095268,0.9844170688341376,0.9375
RidgeClassifier,0.9476871318029354,0.9731051344743277,0.9775146699901335,0.9659724333637377,0.9711685731679964,0.9625
SGDClassifier,0.9610478715036087,0.9902200488997555,0.9908708938120703,0.9884083307996352,0.9896113792227584,0.925
SVC,0.9686504189672528,0.9926650366748166,0.9928371856743714,0.9916134590047634,0.9922182689929412,0.9625
GaussianNB,0.9304516001787583,0.9462102689486552,0.9413027108433735,0.9454621465491031,0.943277522820112,0.9
KNeighborsClassifier,0.961268924710376,0.9828850855745721,0.9836984272875817,0.9800217898043986,0.9817969112607372,0.9125
DecisionTreeClassifier,0.921901982483586,1.0,1.0,1.0,1.0,0.8875
RandomForestClassifier,0.9474728529831401,1.0,1.0,1.0,1.0,0.9125
AdaBoostClassifier,0.9560511432097512,1.0,1.0,1.0,1.0,0.95
ExtraTreesClassifier,0.9586042331285004,1.0,1.0,1.0,1.0,0.95
GradientBoostingClassifier,0.9347160246460682,1.0,1.0,1.0,1.0,0.925
XGBClassifier,0.9482796862623294,1.0,1.0,1.0,1.0,0.925
