Model,cv_results,Train_Accuracy,Precision,Recall,F1_score,Val_Accuracy
LogisticRegression,0.6745583707778587,0.717948717948718,0.7212304483837331,0.717948717948718,0.71689883794067,0.75
RidgeClassifier,0.6716912808527923,0.7211538461538461,0.7265151515151516,0.7211538461538463,0.7194940476190477,0.725
SGDClassifier,0.6096406424062918,0.6939102564102564,0.7058025054786903,0.6939102564102564,0.689423610622513,0.6875
SVC,0.6905067541527795,0.7660256410256411,0.7837606837606838,0.7660256410256411,0.7623117623117623,0.7125
GaussianNB,0.47244099939968565,0.5721153846153846,0.7694300518134716,0.5721153846153846,0.47621877033641735,0.6375
KNeighborsClassifier,0.7059396226751335,0.8349358974358975,0.8617883021338453,0.8349358974358974,0.8318151725365104,0.625
DecisionTreeClassifier,0.7112494383691444,1.0,1.0,1.0,1.0,0.6625
RandomForestClassifier,0.7688845703136659,1.0,1.0,1.0,1.0,0.7375
AdaBoostClassifier,0.6696864858578527,0.8125,0.8164826933280621,0.8125,0.8119082522008187,0.7375
ExtraTreesClassifier,0.7933823951099312,1.0,1.0,1.0,1.0,0.7125
GradientBoostingClassifier,0.714939690252109,0.9551282051282052,0.9560464445999918,0.9551282051282051,0.9551056066601573,0.6875
XGBClassifier,0.7494006846776463,1.0,1.0,1.0,1.0,0.7
