Model,cv_results,Train_Accuracy,Precision,Recall,F1_score,Val_Accuracy
LogisticRegression,0.7418549336895918,0.7746478873239436,0.761595547309833,0.7410256410256411,0.74822695035461,0.77
RidgeClassifier,0.7421964849256443,0.7834507042253521,0.7735133383416559,0.7479700854700855,0.7564891269871699,0.77
SGDClassifier,0.7192221732308108,0.7447183098591549,0.7248464808691544,0.7224893162393162,0.7236009732360098,0.75
SVC,0.7189118571112462,0.8045774647887324,0.79950616185434,0.7697115384615385,0.7796626162443254,0.74
GaussianNB,0.736868919872027,0.7605633802816901,0.7481006289308176,0.7634081196581197,0.7512333990287385,0.74
KNeighborsClassifier,0.7071118772081671,0.8151408450704225,0.8056382753510691,0.7892094017094017,0.7957527251805657,0.76
DecisionTreeClassifier,0.6716816147701944,1.0,1.0,1.0,1.0,0.73
RandomForestClassifier,0.7302007777230504,1.0,1.0,1.0,1.0,0.76
AdaBoostClassifier,0.7057375441295698,0.829225352112676,0.8191157167530225,0.808440170940171,0.8130659745194835,0.73
ExtraTreesClassifier,0.7178896726346089,1.0,1.0,1.0,1.0,0.7
GradientBoostingClassifier,0.7190633116896253,0.926056338028169,0.9287385129490393,0.9112179487179487,0.9187808963516771,0.71
XGBClassifier,0.6893045484459156,1.0,1.0,1.0,1.0,0.67
