Model,cv_results,Train_Accuracy,Precision,Recall,F1_score,Test_Accuracy
LogisticRegression,0.7433681104808961,0.759860788863109,0.7601759227319765,0.759860788863109,0.759788050655678,0.75
RidgeClassifier,0.7502096052696233,0.7540603248259861,0.7552972233191425,0.7540603248259861,0.7537620731286652,0.74
SGDClassifier,0.6939522379005808,0.7436194895591647,0.7436837684156112,0.7436194895591648,0.7436025814440205,0.72
SVC,0.7465584704950882,0.8097447795823666,0.8124358577548993,0.8097447795823667,0.8093342180933423,0.74
GaussianNB,0.7396884815727419,0.7529002320185615,0.7636425877704948,0.7529002320185615,0.7503572521159794,0.73
KNeighborsClassifier,0.7517499305225571,0.839907192575406,0.8508153457232548,0.839907192575406,0.8386529728673969,0.71
DecisionTreeClassifier,0.7493088000433507,1.0,1.0,1.0,1.0,0.73
RandomForestClassifier,0.8118616316136897,1.0,1.0,1.0,1.0,0.79
AdaBoostClassifier,0.7586803638185814,0.8433874709976799,0.8439225327812285,0.8433874709976799,0.8433265343215461,0.79
ExtraTreesClassifier,0.8233926750386003,1.0,1.0,1.0,1.0,0.85
GradientBoostingClassifier,0.7841044234309904,0.9106728538283063,0.9120592429349235,0.9106728538283062,0.9105976544242537,0.79
XGBClassifier,0.7930981274240457,1.0,1.0,1.0,1.0,0.76
