Model,cv_results,Train_Accuracy,Precision,Recall,F1_score,Val_Accuracy
LogisticRegression,0.834914334080383,0.8472727272727273,0.8490757625994695,0.846604938271605,0.8468566949921623,0.78
RidgeClassifier,0.8455899296881276,0.8557575757575757,0.8592985463766563,0.8548500881834216,0.8551369393058081,0.78
SGDClassifier,0.750872473782287,0.7612121212121212,0.7761862765655644,0.7632716049382716,0.7588295610186067,0.74
SVC,0.8503867905224057,0.863030303030303,0.8663126724383978,0.8621693121693121,0.8624839767465531,0.83
GaussianNB,0.8313535474178254,0.8290909090909091,0.8291176470588235,0.8289241622574957,0.8289904075857253,0.78
KNeighborsClassifier,0.8348353208222151,0.9636363636363636,0.9638356454516572,0.9634920634920635,0.9636127871281888,0.86
DecisionTreeClassifier,0.9599368536071005,1.0,1.0,1.0,1.0,1.0
RandomForestClassifier,0.9611846548998147,1.0,1.0,1.0,1.0,1.0
AdaBoostClassifier,0.8739325973462461,0.9224242424242424,0.9224358823667693,0.9225749559082892,0.9224186571374836,0.88
ExtraTreesClassifier,0.955116219738582,1.0,1.0,1.0,1.0,1.0
GradientBoostingClassifier,0.939330265459855,0.9915151515151515,0.9916022723263117,0.9914462081128748,0.9915111105231361,0.94
XGBClassifier,0.9611759729778843,1.0,1.0,1.0,1.0,1.0
