Model,cv_results,Train_Accuracy,Precision,Recall,F1_score,Val_Accuracy
LogisticRegression,0.9712978655570653,1.0,1.0,1.0,1.0,0.98
RidgeClassifier,0.9875948091433165,1.0,1.0,1.0,1.0,0.94
SGDClassifier,0.9710900853552596,1.0,1.0,1.0,1.0,0.88
SVC,0.9330437781173075,0.963855421686747,0.9665656565656566,0.9594496021220159,0.9625782750271354,0.9
GaussianNB,0.9507339624665868,0.963855421686747,0.9603407755581668,0.9676061007957559,0.9631687073711892,1.0
KNeighborsClassifier,0.9174837701918791,0.9558232931726908,0.9565493711533315,0.952553050397878,0.9543994006492966,0.88
DecisionTreeClassifier,0.9378286670295788,1.0,1.0,1.0,1.0,0.98
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoostClassifier,0.9918242710795901,1.0,1.0,1.0,1.0,1.0
ExtraTreesClassifier,0.9916952641318263,1.0,1.0,1.0,1.0,0.98
GradientBoostingClassifier,0.9672655639304556,1.0,1.0,1.0,1.0,1.0
XGBClassifier,0.9916952641318263,1.0,1.0,1.0,1.0,0.98
