Model,cv_results,Train_Accuracy,Precision,Recall,F1_score,Val_Accuracy
LogisticRegression,0.5362717668622251,0.7328605200945626,0.6199028544015351,0.5577356202356203,0.5537183138042108,0.675
RidgeClassifier,0.527500825541578,0.7375886524822695,0.6265743073047859,0.5377252252252253,0.5166112443762676,0.6625
SGDClassifier,0.5063712498768335,0.735224586288416,0.6058823529411765,0.5187110187110187,0.4777777777777777,0.675
SVC,0.43815844159759504,0.7659574468085106,0.8795620437956204,0.5540540540540541,0.5290962453192997,0.6375
GaussianNB,0.6335636279255056,0.723404255319149,0.660183066361556,0.681912681912682,0.6670702912151117,0.7
KNeighborsClassifier,0.532762900257078,0.8132387706855791,0.7714046822742475,0.7108887733887734,0.7308835254040733,0.6375
DecisionTreeClassifier,0.550488923803059,1.0,1.0,1.0,1.0,0.6125
RandomForestClassifier,0.603252536529345,1.0,1.0,1.0,1.0,0.65
AdaBoostClassifier,0.574913052244371,0.8557919621749409,0.8339127686472819,0.7745582120582121,0.7967387451258419,0.65
ExtraTreesClassifier,0.5610531533203463,1.0,1.0,1.0,1.0,0.6375
GradientBoostingClassifier,0.5585784209583027,0.933806146572104,0.9457209177151316,0.8825796950796951,0.908328173374613,0.6875
XGBClassifier,0.5568186111359262,1.0,1.0,1.0,1.0,0.65
