Model,cv_results,Train_Accuracy,Precision,Recall,F1_score,Val_Accuracy
LogisticRegression,0.7540593776925154,0.7722222222222223,0.7723567193675889,0.7722222222222221,0.7721940980367947,0.68
RidgeClassifier,0.7650722542584827,0.7652777777777777,0.7656241549551499,0.7652777777777777,0.7652012326549358,0.68
SGDClassifier,0.7113284017879907,0.7333333333333333,0.7425020048115477,0.7333333333333334,0.7307887049659201,0.67
SVC,0.7553605202999786,0.8138888888888889,0.8146755778334726,0.8138888888888889,0.8137724966993259,0.73
GaussianNB,0.7570876930668012,0.7652777777777777,0.777995649748122,0.7652777777777777,0.76256217424986,0.63
KNeighborsClassifier,0.7500155376541052,0.8416666666666667,0.8473377051237803,0.8416666666666667,0.8410177344252387,0.67
DecisionTreeClassifier,0.718842375709604,1.0,1.0,1.0,1.0,0.69
RandomForestClassifier,0.8010914282898862,1.0,1.0,1.0,1.0,0.73
AdaBoostClassifier,0.7554501211645513,0.8277777777777777,0.8278182491665638,0.8277777777777777,0.8277724621130282,0.69
ExtraTreesClassifier,0.8132870077243969,1.0,1.0,1.0,1.0,0.73
GradientBoostingClassifier,0.8010752197326839,0.9305555555555556,0.9307682806324111,0.9305555555555556,0.9305469811087788,0.71
XGBClassifier,0.7979010191924644,1.0,1.0,1.0,1.0,0.73
